날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 5월 8일,5990.3,5849.4,6011.3,5799.1,757.13K,2.41%
2019년 5월 7일,5849.5,5745.5,6019.8,5745.5,955.88K,1.82%
2019년 5월 6일,5745.1,5775.1,5801.4,5630.5,755.39K,-0.52%
2019년 5월 5일,5774.9,5830.8,5838.2,5708.2,709.02K,-0.96%
2019년 5월 4일,5830.9,5768,5899.2,5605,920.61K,1.11%
2019년 5월 3일,5766.8,5493.6,5844.2,5478.7,1.04M,4.97%
2019년 5월 2일,5493.8,5384.6,5530.8,5370,722.23K,2.04%
2019년 5월 1일,5384.2,5321.1,5396.3,5319.5,623.64K,1.19%
2019년 4월 30일,5320.8,5235.4,5336.6,5195.9,697.42K,1.64%
2019년 4월 29일,5235,5302.4,5322.9,5188.9,775.82K,-1.27%
2019년 4월 28일,5302.3,5265.7,5332.5,5234.4,681.41K,0.69%
2019년 4월 27일,5265.9,5298.2,5318.1,5225.4,833.13K,-0.61%
2019년 4월 26일,5298.3,5209.2,5469.3,5159.3,1.03M,1.71%
2019년 4월 25일,5209.1,5415.6,5528.2,5137.4,955.36K,-3.81%
2019년 4월 24일,5415.6,5511.2,5589.6,5346.8,994.04K,-1.74%
2019년 4월 23일,5511.6,5346.5,5594.4,5291.4,900.00K,3.08%
2019년 4월 22일,5346.7,5248.2,5370.2,5170.2,920.77K,1.97%
2019년 4월 21일,5243.5,5290.2,5308.2,5189.8,811.41K,-0.88%
2019년 4월 20일,5290.2,5241,5327,5240.2,782.32K,0.94%
2019년 4월 19일,5241,5264.8,5282.4,5192.1,787.09K,-0.45%
2019년 4월 18일,5264.7,5208.3,5293.1,5205,727.97K,1.08%
2019년 4월 17일,5208.3,5182.1,5230.9,5165.5,806.52K,0.53%
2019년 4월 16일,5180.9,5031.4,5198.4,5014.4,631.05K,2.95%
2019년 4월 15일,5032.3,5135.1,5168,4964.2,688.20K,-2.00%
2019년 4월 14일,5134.8,5052,5153.5,5010.7,566.38K,1.64%
2019년 4월 13일,5051.8,5054.2,5093.4,5011.6,577.16K,-0.05%
2019년 4월 12일,5054.2,5022.7,5080.5,4889.2,779.14K,0.63%
2019년 4월 11일,5022.6,5307.7,5337,4948,943.49K,-5.37%
2019년 4월 10일,5307.8,5158.4,5404.1,5142.9,837.51K,2.89%
2019년 4월 9일,5158.4,5245,5245.9,5095.2,784.62K,-1.65%
2019년 4월 8일,5245.2,5173.5,5300.6,5060.5,928.23K,1.38%
2019년 4월 7일,5173.6,5046.1,5219.5,5033.7,841.27K,2.53%
2019년 4월 6일,5046.2,5010,5198.4,4947.9,952.18K,0.72%
2019년 4월 5일,5010.2,4902.5,5029.4,4888.3,851.72K,2.20%
2019년 4월 4일,4902.4,4968.7,5042.5,4789.2,1.05M,-1.33%
2019년 4월 3일,4968.7,4859.3,5278.4,4814,13.83M,2.25%
2019년 4월 2일,4859.3,4145.1,4899.6,4143.5,14.77M,17.23%
2019년 4월 1일,4145.1,4102.3,4159.1,4076.8,3.22M,1.04%
2019년 3월 31일,4102.3,4111.8,4121.9,4082.2,2.43M,-0.23%
2019년 3월 30일,4111.8,4103.7,4138.1,4057.1,2.55M,0.23%
2019년 3월 29일,4102.2,4025.7,4123.1,4022.6,3.30M,1.90%
2019년 3월 28일,4025.6,4041.7,4041.7,4008.4,2.11M,-0.40%
2019년 3월 27일,4041.7,3942.8,4043.3,3936.2,2.78M,2.51%
2019년 3월 26일,3942.8,3937.1,3950.7,3899.9,2.53M,0.15%
2019년 3월 25일,3937,3994.8,4000.5,3897.9,2.86M,-1.44%
2019년 3월 24일,3994.7,4002.6,4005.7,3967,2.04M,-0.20%
2019년 3월 23일,4002.5,3990.4,4018.2,3980.8,2.00M,0.30%
2019년 3월 22일,3990.4,3982.2,4005.7,3971.8,2.83M,0.21%
2019년 3월 21일,3982.2,4041.2,4064,3923.8,3.88M,-1.46%
2019년 3월 20일,4041.2,4017,4050,3985.3,3.18M,0.60%
2019년 3월 19일,4017,3990.2,4029.9,3972.4,2.99M,0.67%
2019년 3월 18일,3990.2,3981.5,4032.3,3958.5,2.62M,0.22%
2019년 3월 17일,3981.5,4006.4,4009.8,3956.3,1.87M,-0.62%
2019년 3월 16일,4006.4,3924.4,4050.6,3923.7,3.46M,2.09%
2019년 3월 15일,3924.3,3879,3935.7,3874.8,3.11M,1.17%
2019년 3월 14일,3879,3865.1,3914.7,3828.4,2.86M,0.36%
2019년 3월 13일,3865.1,3885.9,3894.7,3847.4,2.28M,-0.54%
2019년 3월 12일,3886,3870.3,3900.1,3817.1,2.90M,0.41%
2019년 3월 11일,3870.3,3915.2,3935.5,3842.4,3.19M,-1.15%
2019년 3월 10일,3915.2,3944.4,3944.5,3889.2,1.89M,-0.74%
2019년 3월 9일,3944.3,3865.6,3964,3859.7,2.48M,2.03%
2019년 3월 8일,3865.9,3875.1,3929,3810.7,2.96M,-0.24%
2019년 3월 7일,3875.1,3863.1,3907.4,3847.9,2.60M,0.32%
2019년 3월 6일,3863,3857.2,3887.3,3816.7,2.52M,0.15%
2019년 3월 5일,3857.2,3715.9,3873.2,3705.7,3.82M,3.80%
2019년 3월 4일,3715.9,3809.7,3828.4,3681.8,2.85M,-2.45%
2019년 3월 3일,3809.5,3823.2,3836.6,3789.7,1.51M,-0.36%
2019년 3월 2일,3823.1,3821.9,3843.2,3783.6,1.61M,0.03%
2019년 3월 1일,3821.9,3816.7,3855.8,3816.4,1.74M,0.14%
2019년 2월 28일,3816.6,3814.6,3883.7,3783.3,2.31M,0.05%
